title,location,distance,description,verdict,rating,experience
Dar Sohane,"Médina, Marrakech","1,5 km du centre","Le Dar Sohane est situé au cœur de la médina de Marrakech, à proximité de la place Jamaâ El Fna. ",Fabuleux  ,"9,3",85 expériences vécues
Riad Tajania,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,8",105 expériences vécues
Riad Marélia,"Mellah, Marrakech","1,8 km du centre","Situé dans le quartier du Mellah, le Riad Marélia possède quatre toits-terrasses, un grand bassin et un jardin. ",Très bien ,"8,5",29 expériences vécues
Villa GramtaHouse Hotel,Marrakech,"1,9 km du centre","Située à Marrakech, à 2,7 km de la place Jemaa el-Fna et à 2,9 km du palais de la Bahia, la Villa GramtaHouse Hotel propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, une...",,,
Dar Mo'Da,"Médina, Marrakech","1,1 km du centre","Bénéficiant d'un emplacement idéal à Marrakech, le Dar Mo’Da propose des chambres climatisées, un jardin, une terrasse, un salon commun et un restaurant. ",Exceptionnel ,"9,9",59 expériences vécues
Hotel Riu Tikida Garden - All Inclusive Adults Only,"La Palmeraie, Marrakech","3,2 km du centre",Établissement Voyage Durable,Très bien ,"8,3",1 390 expériences vécues
Riad di Siena,"Médina, Marrakech","0,9 km du centre","Situé à 600 mètres du Jardin Secret, le Riad di Siena propose un salon commun, une terrasse ainsi que des hébergements climatisés avec un patio et une connexion Wi-Fi gratuite. ",Fabuleux  ,"9,0",8 expériences vécues
Stars Hotel & Spa,Marrakech,"0,6 km du centre",Établissement Voyage Durable,Très bien ,"8,0",1 267 expériences vécues
Riad Casa Sophia,"Médina, Marrakech","1,3 km du centre","Situé dans la médina de Marrakech, le Riad Casa Sophia se trouve à seulement 2 minutes à pied de la place Jamaâ El Fna. ",Fabuleux  ,"9,2",230 expériences vécues
Dar Moughita,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, le Dar Moughita possède une terrasse. Toutes les chambres disposent de la climatisation, d'un patio et d'une terrasse. ",Fabuleux  ,"9,2",228 expériences vécues
Al Maaden Ryad 69 a Marrakesh,Marrakech,"7,2 km du centre",Établissement Voyage Durable,Superbe ,"8,9",9 expériences vécues
Apartement de Luxe,Marrakech,"2,2 km du centre","Offrant une vue sur le jardin, l'Apartement de Luxe propose un hébergement avec une terrasse et un balcon, à environ 3,1 km de la place Jemaa el-Fna. ",Bien  ,"7,2",4 expériences vécues
Appart Piscine Jardin somptueux à 2 min de palmeraie et 10 min de Majorelle,Marrakech,"3,9 km du centre","Doté d'une piscine extérieure, d'un salon commun et d'un jardin, l'Appart Piscine Jardin somptueux à 2 min de palmeraie et 10 min de Majorelle propose un hébergement avec une connexion Wi-Fi gratuite...",Exceptionnel ,"9,5",4 expériences vécues
Riad Dar Zioui,"Médina, Marrakech","1,5 km du centre","Doté d'un bar et d'une terrasse, le Riad Dar Zioui est situé à Marrakech, à quelques pas du musée Boucharouite et à 500 mètres du musée orientaliste de Marrakech. ",Très bien ,"8,5",48 expériences vécues
The Loft,"Médina, Marrakech","1,4 km du centre","Doté d'un jardin et d'une terrasse, l'établissement The Loft est situé à Marrakech, à 400 mètres de la place Jemaa el-Fna, à moins de 1 km de la mosquée Koutoubia et à 9 minutes à pied du musée...",Exceptionnel ,10,2 expériences vécues
Riad El Jadide,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,9",35 expériences vécues
Riad Minorisa,"Médina, Marrakech",1 km du centre,"Situé à 10 minutes à pied de la place Jamaâ El Fna, à Marrakech, le Riad Minorisa occupe un palais du XVIIIe siècle classé au patrimoine de l'UNESCO. ",Fabuleux  ,"9,1",253 expériences vécues
Riad Rodaina,"Kasbah, Marrakech","1,8 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,8",19 expériences vécues
Dar d'Art,"Médina, Marrakech","0,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",451 expériences vécues
"Dar ""JENNA-ROSE""","Kasbah, Marrakech","1,9 km du centre",Établissement Voyage Durable,Superbe ,"8,9",17 expériences vécues
Villa #1 ‘Rosalie’,Marrakech,"14,7 km du centre","Située à Marrakech, à 14 km du palais de la Bahia et du musée Boucharouite, la Villa #1 ‘Rosalie’ propose une piscine extérieure et la climatisation. ",Fabuleux  ,"9,3",38 expériences vécues
La Fontaine,"L’Hivernage, Marrakech",200 m du centre,"Situé à Marrakech, à 1,7 km du jardin Majorelle et à 1,6 km du musée Mouassine, l'établissement La Fontaine propose un jardin et la climatisation. ",Très bien ,"8,4",51 expériences vécues
Hotel Imperial Plaza & Spa,Marrakech,"2,5 km du centre","L'Hotel Imperial Plaza & Spa est situé au centre de Marrakech. L’établissement dispose d'un spa et centre de bien-être, ainsi que d'un toit-terrasse avec piscine offrant une vue panoramique sur la...",Note ,"6,9",1 821 expériences vécues
Riad Dar Colline,"Médina, Marrakech","0,7 km du centre","Situé à Marrakech, le Riad Dar Colline dispose d'un restaurant et d'une connexion Wi-Fi gratuite. ",Superbe ,"8,7",167 expériences vécues
Maison 211,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Très bien ,"8,0",2 expériences vécues
Riad Signature,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",121 expériences vécues
Palais Jena Hotel,Marrakech,"9,5 km du centre","Situé à Marrakech, à 3,5 km de la place Jemaa el-Fna, le Palais Jena Hotel propose un restaurant, un parking privé gratuit, une piscine extérieure et un salon commun. ",Note ,"6,1",10 expériences vécues
Riad Chameleon,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",145 expériences vécues
Kech Boutique Hotel & Spa,"L'Agdal, Marrakech","4,8 km du centre","Situé dans le quartier Agdal, le Kech Hotel & Spa donne sur les montagnes d'Oukaïmeden et dispose d'une piscine ainsi que d'un restaurant. ",Bien  ,"7,7",794 expériences vécues
Riad Dar El Souk,"Médina, Marrakech","1,6 km du centre","Le Riad Dar El Souk est situé dans le quartier Zitoun Kedim de Marrakech, à seulement 7 minutes à pied de la place Jemaa el-Fna. ",Fabuleux  ,"9,2",235 expériences vécues
Hotel & Spa Riad Al Jazira,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Superbe ,"8,9",163 expériences vécues
The Pearl Marrakech,"L’Hivernage, Marrakech","0,7 km du centre","Le Pearl Marrakech dispose d'une piscine sur le toit, de 2 restaurants et d'un bar-salon avec une galerie d'art. ",Superbe ,"8,7",232 expériences vécues
Riad Shaloma,Marrakech,"2,1 km du centre",Établissement Voyage Durable,Superbe ,"8,7",115 expériences vécues
Riad Shambala,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",201 expériences vécues
Riad Alizé,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",79 expériences vécues
Riad Albatoul,"Médina, Marrakech","1,6 km du centre","Bénéficiant d'un emplacement privilégié à Marrakech, le Riad Albatoul propose des chambres climatisées, une piscine extérieure et un bar. ",Exceptionnel ,"9,7",90 expériences vécues
Riad Medina Art & Suites,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",551 expériences vécues
Pestana CR7 Marrakech,"L’Hivernage, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,7",379 expériences vécues
Four Seasons Resort Marrakech,"L’Hivernage, Marrakech","1,9 km du centre",Le Four Seasons Resort Marrakech se trouve à 3 minutes en voiture des jardins de la Ménara. ,Fabuleux  ,"9,1",340 expériences vécues
Riad Full Moon,"Kasbah, Marrakech","1,7 km du centre","Idéalement situé dans le quartier de la Kasbah à Marrakech, le Riad Full Moon se trouve à 1,3 km du palais de la Bahia, à 1,2 km de la place Jemaa el-Fna et de la mosquée Koutoubia. ",Fabuleux  ,"9,0",208 expériences vécues
riad paradis blanc,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, le Riad paradis blanc propose un restaurant, un bar, un salon commun et un jardin. Une piscine intérieure et un service de location de voitures sont disponibles. ",Exceptionnel ,"9,6",170 expériences vécues
Riad Zinoun & Spa 9 Rooms,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Très bien ,"8,5",128 expériences vécues
Palm Appart Club Marrakesh,"L'Agdal, Marrakech","4,1 km du centre",Établissement Voyage Durable,Bien  ,"7,6",1 070 expériences vécues
Les Jardins De La Médina,"Kasbah, Marrakech","2,1 km du centre","Situé dans le centre historique de Marrakech, à proximité de la place Jamaâ El Fna, l'hôtel Les Jardins De La Médina propose des jardins exotiques, une piscine extérieure, ainsi qu'un spa avec hammam...",Fabuleux  ,"9,1",284 expériences vécues
Riad Luciano Hotel and Spa,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",242 expériences vécues
Dar Assiya,"Médina, Marrakech","1,5 km du centre","L'établissement Dar Assiya est situé dans la médina de Marrakech, à 10 minutes à pied de la place Jamaâ El Fna et à 10 minutes de route du jardin Majorelle. ",Exceptionnel ,"9,5",124 expériences vécues
Riad Adika & Spa,"Médina, Marrakech","0,9 km du centre",Le Riad Adika & Spa propose des chambres modernes climatisées dans la médina de Marrakech. ,Fabuleux  ,"9,3",512 expériences vécues
Riad Mina,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, le Riad Mina propose des chambres climatisées, un salon commun, une connexion Wi-Fi gratuite et une terrasse. ",Fabuleux  ,"9,0",127 expériences vécues
Ryad Hamza,"Médina, Marrakech","1,3 km du centre","Doté d'un toit-terrasse arboré de plantes et pourvu de chaises longues, le Ryad Hamza est situé dans la médina de Marrakech, à seulement 2 minutes à pied de la place Jamaâ El Fna. ",Fabuleux  ,"9,1",675 expériences vécues
Riad Haraka,"Médina, Marrakech","1,2 km du centre","Situé dans la médina de Marrakech, le Riad Haraka se trouve à respectivement 5 et 15 minutes à pied du musée de Marrakech et de Madrasat Ben Youssef ainsi que de la place Jamaâ El Fna. ",Superbe ,"8,6",43 expériences vécues
Riad Turquoise,Marrakech,2 km du centre,"Situé à Marrakech, le Riad Turquoise se trouve à seulement 10 minutes à pied de la place Jamaâ El Fna et de la mosquée Koutoubia. ",Fabuleux  ,"9,1",88 expériences vécues
Murano Resort Marrakech,"La Palmeraie, Marrakech","6,6 km du centre",Établissement Voyage Durable,Bien  ,"7,6",177 expériences vécues
Riad Manissa,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",168 expériences vécues
Riad Monceau,"Médina, Marrakech","1,3 km du centre","Le Riad Monceau est situé dans la médina, à seulement 1 minute à pied de la place Jamaa El Fna et à 3 minutes de marche des souks. ",Superbe ,"8,8",50 expériences vécues
"Villa entier , piscine privée Targa",Marrakech,"6,8 km du centre","Offrant une vue sur le jardin, la Villa entière, piscine privée Targa propose un hébergement avec une piscine extérieure, un bar et un salon commun, à environ 6,7 km de la gare de Marrakech. ",Fabuleux  ,"9,2",4 expériences vécues
Riad Karmela,"Médina, Marrakech","1,6 km du centre","Le Riad karmela est situé au cœur de l'ancienne médina, à proximité des souks et à 8 minutes à pied de la place Jemaa el-Fna (veuillez noter que l'accès aux voitures et aux taxis est limité). ",Fabuleux  ,"9,1",245 expériences vécues
RIAD DREAMS,"Médina, Marrakech","0,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",250 expériences vécues
Riad Assakina,"Mellah, Marrakech","1,9 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",47 expériences vécues
Riad Dar Tamlil,"Médina, Marrakech","1,3 km du centre","Situé à seulement 3 minutes de marche de la place Jemaa El Fna et des souks, le Riad Dar Tamlil possède un patio, une terrasse avec chaises longues et une fontaine. ",Fabuleux  ,"9,2",178 expériences vécues
Riad et Spa Misria Les Oliviers,"Médina, Marrakech","1,3 km du centre",Le Riad et Spa Misria Les Oliviers propose des chambres climatisées avec télévision par satellite à écran plat dans le quartier de la médina de Marrakech. ,Fabuleux  ,"9,3",110 expériences vécues
Riad Rabahsadia,"Médina, Marrakech","0,5 km du centre","Le Riad Rabahsadia est situé à Marrakech, à 15 km de l'aéroport international, 4 km de la gare et 1 km de la place Jamaâ El Fna. ",Fabuleux  ,"9,2",301 expériences vécues
Riad du Ciel Marrakech,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",104 expériences vécues
Riad les deux citronniers,Marrakech,"8,3 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",92 expériences vécues
Riad Dar Massaï,"Kasbah, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,6",41 expériences vécues
"Radisson Blu Marrakech, Carré Eden","Guéliz, Marrakech","1,2 km du centre",Établissement Voyage Durable,Très bien ,"8,3",2 327 expériences vécues
Le Meridien N'fis,"L’Hivernage, Marrakech","1,3 km du centre",Établissement Voyage Durable,Bien  ,"7,8",1 225 expériences vécues
Hotel Atlas,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Bien  ,"7,8",1 269 expériences vécues
Blue Sea Le Printemps,"Guéliz, Marrakech","1,4 km du centre",Établissement Voyage Durable,Bien  ,"7,8",2 407 expériences vécues
Riad Chameleon,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",145 expériences vécues
Kech Boutique Hotel & Spa,"L'Agdal, Marrakech","4,8 km du centre","Situé dans le quartier Agdal, le Kech Hotel & Spa donne sur les montagnes d'Oukaïmeden et dispose d'une piscine ainsi que d'un restaurant. ",Bien  ,"7,7",794 expériences vécues
Riad Dar El Souk,"Médina, Marrakech","1,6 km du centre","Le Riad Dar El Souk est situé dans le quartier Zitoun Kedim de Marrakech, à seulement 7 minutes à pied de la place Jemaa el-Fna. ",Fabuleux  ,"9,2",235 expériences vécues
Hotel & Spa Riad Al Jazira,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Superbe ,"8,9",163 expériences vécues
The Pearl Marrakech,"L’Hivernage, Marrakech","0,7 km du centre","Le Pearl Marrakech dispose d'une piscine sur le toit, de 2 restaurants et d'un bar-salon avec une galerie d'art. ",Superbe ,"8,7",232 expériences vécues
Riad Shaloma,Marrakech,"2,1 km du centre",Établissement Voyage Durable,Superbe ,"8,7",115 expériences vécues
Riad Shambala,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",201 expériences vécues
Riad Alizé,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",79 expériences vécues
Riad Albatoul,"Médina, Marrakech","1,6 km du centre","Bénéficiant d'un emplacement privilégié à Marrakech, le Riad Albatoul propose des chambres climatisées, une piscine extérieure et un bar. ",Exceptionnel ,"9,7",90 expériences vécues
Riad Medina Art & Suites,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",551 expériences vécues
Pestana CR7 Marrakech,"L’Hivernage, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,7",379 expériences vécues
Four Seasons Resort Marrakech,"L’Hivernage, Marrakech","1,9 km du centre",Le Four Seasons Resort Marrakech se trouve à 3 minutes en voiture des jardins de la Ménara. ,Fabuleux  ,"9,1",340 expériences vécues
Riad Full Moon,"Kasbah, Marrakech","1,7 km du centre","Idéalement situé dans le quartier de la Kasbah à Marrakech, le Riad Full Moon se trouve à 1,3 km du palais de la Bahia, à 1,2 km de la place Jemaa el-Fna et de la mosquée Koutoubia. ",Fabuleux  ,"9,0",208 expériences vécues
riad paradis blanc,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, le Riad paradis blanc propose un restaurant, un bar, un salon commun et un jardin. Une piscine intérieure et un service de location de voitures sont disponibles. ",Exceptionnel ,"9,6",170 expériences vécues
Riad Houdou,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",101 expériences vécues
Riad Zinoun & Spa 9 Rooms,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Très bien ,"8,5",128 expériences vécues
Palm Appart Club Marrakesh,"L'Agdal, Marrakech","4,1 km du centre",Établissement Voyage Durable,Bien  ,"7,6",1 070 expériences vécues
Les Jardins De La Médina,"Kasbah, Marrakech","2,1 km du centre","Situé dans le centre historique de Marrakech, à proximité de la place Jamaâ El Fna, l'hôtel Les Jardins De La Médina propose des jardins exotiques, une piscine extérieure, ainsi qu'un spa avec hammam...",Fabuleux  ,"9,1",284 expériences vécues
Riad Luciano Hotel and Spa,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",242 expériences vécues
Dar Assiya,"Médina, Marrakech","1,5 km du centre","L'établissement Dar Assiya est situé dans la médina de Marrakech, à 10 minutes à pied de la place Jamaâ El Fna et à 10 minutes de route du jardin Majorelle. ",Exceptionnel ,"9,5",124 expériences vécues
Riad Adika & Spa,"Médina, Marrakech","0,9 km du centre",Le Riad Adika & Spa propose des chambres modernes climatisées dans la médina de Marrakech. ,Fabuleux  ,"9,3",512 expériences vécues
Riad Mina,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, le Riad Mina propose des chambres climatisées, un salon commun, une connexion Wi-Fi gratuite et une terrasse. ",Fabuleux  ,"9,0",127 expériences vécues
Ryad Hamza,"Médina, Marrakech","1,3 km du centre","Doté d'un toit-terrasse arboré de plantes et pourvu de chaises longues, le Ryad Hamza est situé dans la médina de Marrakech, à seulement 2 minutes à pied de la place Jamaâ El Fna. ",Fabuleux  ,"9,1",675 expériences vécues
Riad Haraka,"Médina, Marrakech","1,2 km du centre","Situé dans la médina de Marrakech, le Riad Haraka se trouve à respectivement 5 et 15 minutes à pied du musée de Marrakech et de Madrasat Ben Youssef ainsi que de la place Jamaâ El Fna. ",Superbe ,"8,6",43 expériences vécues
Riad Turquoise,Marrakech,2 km du centre,"Situé à Marrakech, le Riad Turquoise se trouve à seulement 10 minutes à pied de la place Jamaâ El Fna et de la mosquée Koutoubia. ",Fabuleux  ,"9,1",88 expériences vécues
Murano Resort Marrakech,"La Palmeraie, Marrakech","6,6 km du centre",Établissement Voyage Durable,Bien  ,"7,6",177 expériences vécues
Riad Dollar Des Sables & Spa,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",387 expériences vécues
Riad Laila,"Médina, Marrakech","1,3 km du centre","Située à Marrakech, à seulement 15 minutes à pied de la place Jemaa el-Fna, la maison d'hôtes Riad Laila propose un jardin central avec une piscine extérieure entourée d'orangers, ainsi qu'un...",Fabuleux  ,"9,4",268 expériences vécues
Riad La Calèche,"Médina, Marrakech","1,4 km du centre","Doté d'une piscine intérieure et d'un centre de spa et de bien-être, le Riad La Calèche est situé à Marrakech. Il est équipé d'une connexion Wi-Fi gratuite. ",Superbe ,"8,9",382 expériences vécues
Riad LAMDINA,"Médina, Marrakech","0,9 km du centre","Situé dans le centre de Marrakech, à moins de 1 km du Jardin Secret et à 12 minutes à pied du musée Mouassine, le Riad LAMDINA propose des hébergements avec une connexion Wi-Fi gratuite et une...",Exceptionnel ,"9,5",156 expériences vécues
Riad Aguaviva,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",114 expériences vécues
Riad Abjaou,Marrakech,"2,1 km du centre",Établissement Voyage Durable,Superbe ,"8,7",86 expériences vécues
Riad Raffaa,"Médina, Marrakech","0,8 km du centre","Idéalement situé au cœur de Marrakech, le Riad Raffaa propose un hébergement à proximité du palais de la Bahia et du parking de la Koutoubia. ",Fabuleux  ,"9,0",340 expériences vécues
Riad Laora,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Très bien ,"8,5",86 expériences vécues
Riad Dar Nakous,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, le Riad Dar Nakous possède un bassin profond et une table d'hôtes. De plus, une connexion Wi-Fi est disponible gratuitement. ",Fabuleux  ,"9,0",135 expériences vécues
Riad Sable Chaud,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Très bien ,"8,4",131 expériences vécues
Riad & Spa Azzouz,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Fabuleux  ,"9,2",144 expériences vécues
Riad Nashira & Spa,"Médina, Marrakech","1,3 km du centre",Le Riad Nashira & Spa se trouve à 10 minutes à pied de la place Jemaa El-Fna. ,Fabuleux  ,"9,2",58 expériences vécues
Riad Barroko,"Médina, Marrakech",450 m du centre,Établissement Voyage Durable,Très bien ,"8,5",102 expériences vécues
Riad Nasreen,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Très bien ,"8,4",185 expériences vécues
Riad El Youssoufi,"Médina, Marrakech","0,8 km du centre","Situé à 15 minutes à pied de la place Jamaâ El Fna, le Riad El Youssoufi propose des chambres comprenant la climatisation et une connexion Wi-Fi gratuite, ainsi qu'une terrasse donnant sur la mosquée....",Exceptionnel ,"9,6",437 expériences vécues
Hotel & Spa Dar Sara,"Médina, Marrakech","0,9 km du centre",Établissement Voyage Durable,Superbe ,"8,8",158 expériences vécues
Dar El Mudal,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",18 expériences vécues
Riad Hôtel Essaouira,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Superbe ,"8,7",698 expériences vécues
Riad Eden,"Médina, Marrakech","1,6 km du centre","Situé dans la médina, à quelques pas des souks, le Riad Eden dispose d'un patio décoré d'une fontaine et d'un salon marocain. ",Fabuleux  ,"9,0",179 expériences vécues
Riad Le J,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",108 expériences vécues
La Claire Fontaine,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",58 expériences vécues
Dar Guéliz,"Guéliz, Marrakech","1,2 km du centre",Établissement Voyage Durable,Très bien ,"8,3",219 expériences vécues
Riad Dalia,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Superbe ,"8,8",142 expériences vécues
Labranda Rose Aqua Parc,"L’Hivernage, Marrakech","1,3 km du centre",Le Labranda Rose Aqua Parc vous accueille à 20 minutes à pied de la place Jemaa el-Fna. ,Bien  ,"7,2",2 959 expériences vécues
Riad & Spa Laurence Olivier,"Médina, Marrakech","2,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",29 expériences vécues
Riad Tzarra,"Médina, Marrakech","1,7 km du centre","Implanté dans un quartier calme de la médina, à proximité du musée et de la médersa Ben Youssef, ce riad raffiné constitue un oasis de paix et de tranquillité. ",Fabuleux  ,"9,0",60 expériences vécues
Riad 64 Maison D'hôtes & Spa,Marrakech,"2,2 km du centre","Situé dans la médina à seulement 5 minutes à pied de la place Jemaa el-Fna, le Riad 64 Maison D'hôtes & Spa propose un toit-terrasse avec vue sur la médina agrémenté d'une piscine extérieure et de...",Fabuleux  ,"9,0",68 expériences vécues
Riad les 2 Portes,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",499 expériences vécues
Riad RK Suites & Spa,"Médina, Marrakech","0,9 km du centre","Le Riad RK Suites & Spa est situé à Marrakech, à moins de 600 mètres du palais de La Bahia, dans le quartier de la Médina. ",Fabuleux  ,"9,2",470 expériences vécues
72 Riad Living,"Médina, Marrakech","0,7 km du centre","Situé dans l'ancienne médina de Marrakech, le 72 Riad Living est un hôtel de caractère. ",Fabuleux  ,"9,4",94 expériences vécues
Riad Todra,"Médina, Marrakech","1,4 km du centre","Situé dans le quartier de la Médina, à Marrakech, et à 200 mètres de la place Jamaâ El Fna, le Riad Todra comprend une connexion Wi-Fi gratuite et un restaurant. ",Superbe ,"8,8",266 expériences vécues
Riad Arbre Bleu,"Médina, Marrakech","1,2 km du centre","Situé à 5 minutes à pied des souks de Marrakech, le Riad Arbre Bleu propose des massages, une cuisine marocaine ainsi que des chambres climatisées avec connexion Wi-Fi gratuite. ",Superbe ,"8,6",295 expériences vécues
Dellarosa Boutique Hotel and Spa,"Guéliz, Marrakech","0,5 km du centre",Établissement Voyage Durable,Bien  ,"7,7",1 086 expériences vécues
Dar Guéliz,"Guéliz, Marrakech","1,2 km du centre",Établissement Voyage Durable,Très bien ,"8,3",219 expériences vécues
Riad Dalia,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Superbe ,"8,8",142 expériences vécues
Labranda Rose Aqua Parc,"L’Hivernage, Marrakech","1,3 km du centre",Le Labranda Rose Aqua Parc vous accueille à 20 minutes à pied de la place Jemaa el-Fna. ,Bien  ,"7,2",2 959 expériences vécues
Riad Adore,"Médina, Marrakech",1 km du centre,"Doté d'un restaurant et d'une connexion Wi-Fi gratuite, l'établissement Riad Adore se situe à Marrakech. La réception est ouverte 24h/24. ",Fabuleux  ,"9,1",181 expériences vécues
Riad & Spa Laurence Olivier,"Médina, Marrakech","2,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",29 expériences vécues
Riad Tzarra,"Médina, Marrakech","1,7 km du centre","Implanté dans un quartier calme de la médina, à proximité du musée et de la médersa Ben Youssef, ce riad raffiné constitue un oasis de paix et de tranquillité. ",Fabuleux  ,"9,0",60 expériences vécues
Riad 64 Maison D'hôtes & Spa,Marrakech,"2,2 km du centre","Situé dans la médina à seulement 5 minutes à pied de la place Jemaa el-Fna, le Riad 64 Maison D'hôtes & Spa propose un toit-terrasse avec vue sur la médina agrémenté d'une piscine extérieure et de...",Fabuleux  ,"9,0",68 expériences vécues
Riad Enchanté,"Médina, Marrakech","1,1 km du centre","Situé à Marrakech, dans la région de Marrakech-Tensift-Haouz, le Riad Enchanté se trouve dans le quartier de Mouassine, à 5 minutes de la place Jemaa El Fna. Il possède un restaurant sur place. ",Exceptionnel ,"9,5",97 expériences vécues
Riad les 2 Portes,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",499 expériences vécues
Riad RK Suites & Spa,"Médina, Marrakech","0,9 km du centre","Le Riad RK Suites & Spa est situé à Marrakech, à moins de 600 mètres du palais de La Bahia, dans le quartier de la Médina. ",Fabuleux  ,"9,2",470 expériences vécues
72 Riad Living,"Médina, Marrakech","0,7 km du centre","Situé dans l'ancienne médina de Marrakech, le 72 Riad Living est un hôtel de caractère. ",Fabuleux  ,"9,4",94 expériences vécues
Riad Todra,"Médina, Marrakech","1,4 km du centre","Situé dans le quartier de la Médina, à Marrakech, et à 200 mètres de la place Jamaâ El Fna, le Riad Todra comprend une connexion Wi-Fi gratuite et un restaurant. ",Superbe ,"8,8",266 expériences vécues
Dellarosa Boutique Hotel and Spa,"Guéliz, Marrakech","0,5 km du centre",Établissement Voyage Durable,Bien  ,"7,7",1 086 expériences vécues
Riad Sidi Mimoune & Spa,Marrakech,"1,4 km du centre",Établissement Voyage Durable,Superbe ,"8,8",412 expériences vécues
Riad Banatti,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Superbe ,"8,9",48 expériences vécues
Riad Ecila,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",144 expériences vécues
Dar Housnia,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,7",19 expériences vécues
Riad Dombaraka,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",120 expériences vécues
Riad Sheba,"Médina, Marrakech","0,6 km du centre","Le Riad Sheba vous accueille à 5 minutes à pied de la place Jemaa el-Fna. Ce riad propose un jacuzzi, ainsi qu'un salon avec une connexion Wi-Fi et une télévision par câble. ",Fabuleux  ,"9,4",153 expériences vécues
Riad Beldi,"Médina, Marrakech","1,4 km du centre",Cette maison d'hôtes se trouve à 15 minutes de marche de la place Jamaâ El Fna et du célèbre jardin Majorelle. ,Fabuleux  ,"9,2",202 expériences vécues
